|ACCOUNT:|POST:|TAGS:|LIKES:|COMMENTS:
1|dhimasamri1|Pas banget dong gue ditengah  |[]|52|['sangat dipinggir ya w']
2|dhimasamri1|liat deh yang paling kiri, coba tebak tangannya itu namanya gaya apa?|[]|56|['gaya gaya an @gianchiesamghrz', 'Kembaran ya kak?']
3|dhimasamri1|Kasihan bapak|[]|47|['Motivasi yg tengah make masker apa yak  ', 'Waw', 'Aku cantik. Sekian']
4|dhimasamri1|Udah setahun ya kyknya gak ketemu orang  ini,, temen makan di mie janda.|[]|49|['Kangen mie janda', 'Beli dimana? Di doea? Sebrang mayat ae udah gaada']
5|dhimasamri1|Foto di Photobooth baru :v|[]|45|['Hm', 'Mantap', 'Ngantrinya kaya wahana di dufan :v', 'Photobooth permanent..wkwk']
6|dhimasamri1|Olimpisme|[]|50|['Anjay dimas poto', 'First dapet apa ni', 'Ada perkembangan nih adek lu @daniel_marpaung007', 'Mantap boss', 'When an introvert went outside', 'Mantapppp', 'eaeaaaa unjay']
7|dhimasamri1|Karamilk|[]|40|['Dhim kok lo putih dhim']
8|dhimasamri1|"""Science is a way of thinking much more than it is a body of knowledge.  - Carl Sagan  Hello! My name is Dhimas Amri Pratama and I m proud to be a part of Computer Science Department, Faculty of Mathematics and Natural Sciences, State University of Jakarta. Ready for PKKMB UNJ 2018 and gonna shake the whole world with our science skill also reveal the secrets of the universe!  @pkkmb_unj2018 #PKKMBUNJ2018 #IntelekBerpikir #IntelekBergerak #FMIPAUNJ2018 #IlmuKomputerUNJ2018"|['#PKKMBUNJ2018', '#IntelekBerpikir', '#IntelekBergerak', '#FMIPAUNJ2018', '#IlmuKomputerUNJ2018']|54|['Wiiii selamaaatttt', 'Nah nais', 'Azek azek... dekat nih', 'Hallo.. selamat bergabung menjadi keluarga besar unj   tag ya kalau boleh di repost  ', 'dhimass polbekk', 'Follback', '#jomblofisabilillah ', '   ', '   ', '   ']
9|dhimasamri1|Late post|[]|20|['follback ya @dhimasamri1', 'Sayang', 'Sayang', 'Ganteng', 'Follback ya sayang']
10|dhimasamri1|Pas kelulusan|[]|16|['Asique upload :v', 'Anjay ige baru :3', 'Ga kepisah tuh ampe kuliah wkwk']
11|maldini4869|*GIVEAWAY TIME*  , yup kita bakal bagi-bagi nih kepada para customers dan para followers kita di seluruh dunia   . . Kita bakal bagi-bagi 1 buah gamis Yang menawan dan 2 buah hijab Yang akan melengkapkan hari-harimu ,Kita akan mengundi 3 orang beruntung Yang akan mendapatkan hadiah tersebut. . Cara ikutan giveaway nya gampang banget, caranya: 1. Follow ig @otth_co 2. Repost postingan ini dengan tag ig @otth_co 3. Tag 5 temen kalian di kolom komentar . So gampang bangett cara ikutan nyaa, Jangann lewat kan giveaway inii    . Ket: - pemenang akan di undi Oleh pihak kami, dan kami akan jujur dalam proses pemilihan nya - Pemenang akan kami umumkan di story kami, Pada Tanggal 10 September 2019 dan Ketika sudah ada pemenang nya kami akan Dm pemenang itu dan para pemenang wajib membalas Dm kami dalam waktu 1*24 jam, bila tidak menjawab maka kami akan memilih pemenang selanjutnya - Hadiah untuk para pemenang pihak kami juga Yang akan memilih, pemenang Hanya boleh memilih ukuran nya saja . Terima kasihh, selamat mengikuti giveaway nyaa     #univ.indonesia #uny #ugm#unpad#unj#unja#ui#steitazkia#uinjakarta#lipia#unnes#unsoed|['#univ.indonesia', '#uny', '#ugm#unpad#unj#unja#ui#steitazkia#uinjakarta#lipia#unnes#unsoed']|0|[]
